Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Hitman,(I) (2007),15,100 min,"
Action, Crime, Thriller            ",6.3,"
35        
        Metascore
            ","
    A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",Xavier Gens,Timothy Olyphant,Dougray Scott,Olga Kurylenko,Robert Knepper,"160,191",$39.69M
The Hills Have Eyes,(2006),18,107 min,"
Horror, Thriller            ",6.4,"
52        
        Metascore
            ","
    A family falls victim to a group of mutated cannibals in a desert far away from civilization.",Alexandre Aja,Ted Levine,Kathleen Quinlan,Dan Byrd,Emilie de Ravin,"157,907",$41.78M
The Third Man,(1949),A,104 min,"
Film-Noir, Mystery, Thriller            ",8.1,"
97        
        Metascore
            ","
    Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,"157,600",$0.45M
Point Break,(1991),16,122 min,"
Action, Crime, Thriller            ",7.3,"
58        
        Metascore
            ","
    An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.",Kathryn Bigelow,Patrick Swayze,Keanu Reeves,Gary Busey,Lori Petty,"156,683",$43.22M
Miss Peregrine's Home for Peculiar Children,(2016),12A,127 min,"
Adventure, Drama, Family            ",6.7,"
57        
        Metascore
            ","
    When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Tim Burton,Eva Green,Asa Butterfield,Samuel L. Jackson,Judi Dench,"154,493",$87.24M
The Cable Guy,(1996),12,96 min,"
Comedy, Drama, Thriller            ",6.1,"
56        
        Metascore
            ","
    A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences.",Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black,"152,055",$60.24M
Date Night,(2010),15,88 min,"
Comedy, Crime, Romance            ",6.3,"
56        
        Metascore
            ","
    In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",Shawn Levy,Steve Carell,Tina Fey,Mark Wahlberg,Taraji P. Henson,"151,572",$98.71M
From Hell,(2001),18,122 min,"
Horror, Mystery, Thriller            ",6.8,"
54        
        Metascore
            ","
    In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",Albert Hughes,Allen Hughes,Johnny Depp,Heather Graham,Ian Holm,"146,116",$31.60M
Commando,(1985),18,90 min,"
Action, Adventure, Thriller            ",6.7,"
51        
        Metascore
            ","
    A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",Mark L. Lester,Arnold Schwarzenegger,Rae Dawn Chong,Dan Hedaya,Vernon Wells,"145,477",$35.10M
Idiocracy,(2006),15,84 min,"
Adventure, Comedy, Sci-Fi            ",6.6,"
66        
        Metascore
            ","
    Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.",Mike Judge,Luke Wilson,Maya Rudolph,Dax Shepard,Terry Crews,"144,297",$0.44M
